+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5977   |
|  epoch 2  |   0.4942   |
|  epoch 3  |   0.4450   |
|  epoch 4  |   0.4061   |
|  epoch 5  |   0.3652   |
|  epoch 6  |   0.3420   |
|  epoch 7  |   0.3101   |
|  epoch 8  |   0.2844   |
|  epoch 9  |   0.2654   |
|  epoch 10 |   0.2379   |
|  epoch 11 |   0.2209   |
|  epoch 12 |   0.1949   |
|  epoch 13 |   0.1751   |
|  epoch 14 |   0.1619   |
|  epoch 15 |   0.1537   |
|  epoch 16 |   0.1307   |
|  epoch 17 |   0.1233   |
|  epoch 18 |   0.1106   |
|  epoch 19 |   0.1003   |
|  epoch 20 |   0.0928   |
|  epoch 21 |   0.0886   |
|  epoch 22 |   0.0835   |
|  epoch 23 |   0.0732   |
|  epoch 24 |   0.0782   |
|  epoch 25 |   0.0686   |
|  epoch 26 |   0.0602   |
|  epoch 27 |   0.0566   |
|  epoch 28 |   0.0531   |
|  epoch 29 |   0.0602   |
|  epoch 30 |   0.0558   |
|  epoch 31 |   0.0453   |
|  epoch 32 |   0.0548   |
|  epoch 33 |   0.0490   |
|  epoch 34 |   0.0419   |
|  epoch 35 |   0.0435   |
|  epoch 36 |   0.0430   |
|  epoch 37 |   0.0420   |
|  epoch 38 |   0.0406   |
|  epoch 39 |   0.0374   |
|  epoch 40 |   0.0355   |
|  epoch 41 |   0.0354   |
|  epoch 42 |   0.0333   |
|  epoch 43 |   0.0326   |
|  epoch 44 |   0.0359   |
|  epoch 45 |   0.0399   |
|  epoch 46 |   0.0340   |
|  epoch 47 |   0.0351   |
|  epoch 48 |   0.0256   |
|  epoch 49 |   0.0278   |
|  epoch 50 |   0.0256   |
|  epoch 51 |   0.0353   |
|  epoch 52 |   0.0287   |
|  epoch 53 |   0.0243   |
|  epoch 54 |   0.0320   |
|  epoch 55 |   0.0270   |
|  epoch 56 |   0.0227   |
|  epoch 57 |   0.0170   |
|  epoch 58 |   0.0272   |
|  epoch 59 |   0.0248   |
|  epoch 60 |   0.0283   |
|  epoch 61 |   0.0252   |
|  epoch 62 |   0.0253   |
|  epoch 63 |   0.0222   |
|  epoch 64 |   0.0211   |
|  epoch 65 |   0.0204   |
|  epoch 66 |   0.0225   |
|  epoch 67 |   0.0236   |
|  epoch 68 |   0.0178   |
|  epoch 69 |   0.0168   |
|  epoch 70 |   0.0221   |
|  epoch 71 |   0.0165   |
|  epoch 72 |   0.0227   |
|  epoch 73 |   0.0226   |
|  epoch 74 |   0.0173   |
|  epoch 75 |   0.0196   |
|  epoch 76 |   0.0226   |
|  epoch 77 |   0.0241   |
|  epoch 78 |   0.0226   |
|  epoch 79 |   0.0173   |
|  epoch 80 |   0.0168   |
|  epoch 81 |   0.0173   |
|  epoch 82 |   0.0114   |
|  epoch 83 |   0.0186   |
|  epoch 84 |   0.0280   |
|  epoch 85 |   0.0162   |
|  epoch 86 |   0.0148   |
|  epoch 87 |   0.0175   |
|  epoch 88 |   0.0164   |
|  epoch 89 |   0.0135   |
|  epoch 90 |   0.0159   |
|  epoch 91 |   0.0166   |
|  epoch 92 |   0.0176   |
|  epoch 93 |   0.0207   |
|  epoch 94 |   0.0182   |
|  epoch 95 |   0.0151   |
|  epoch 96 |   0.0133   |
|  epoch 97 |   0.0114   |
|  epoch 98 |   0.0129   |
|  epoch 99 |   0.0119   |
| epoch 100 |   0.0199   |
+-----------+------------+
