+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.3689   |
|  epoch 2  |   0.2227   |
|  epoch 3  |   0.1675   |
|  epoch 4  |   0.1390   |
|  epoch 5  |   0.1169   |
|  epoch 6  |   0.0969   |
|  epoch 7  |   0.0842   |
|  epoch 8  |   0.0735   |
|  epoch 9  |   0.0584   |
|  epoch 10 |   0.0540   |
|  epoch 11 |   0.0428   |
|  epoch 12 |   0.0403   |
|  epoch 13 |   0.0356   |
|  epoch 14 |   0.0266   |
|  epoch 15 |   0.0274   |
|  epoch 16 |   0.0217   |
|  epoch 17 |   0.0300   |
|  epoch 18 |   0.0233   |
|  epoch 19 |   0.0220   |
|  epoch 20 |   0.0175   |
|  epoch 21 |   0.0140   |
|  epoch 22 |   0.0176   |
|  epoch 23 |   0.0142   |
|  epoch 24 |   0.0137   |
|  epoch 25 |   0.0188   |
|  epoch 26 |   0.0227   |
|  epoch 27 |   0.0172   |
|  epoch 28 |   0.0182   |
|  epoch 29 |   0.0161   |
|  epoch 30 |   0.0127   |
|  epoch 31 |   0.0157   |
|  epoch 32 |   0.0103   |
|  epoch 33 |   0.0080   |
|  epoch 34 |   0.0106   |
|  epoch 35 |   0.0150   |
|  epoch 36 |   0.0167   |
|  epoch 37 |   0.0112   |
|  epoch 38 |   0.0251   |
|  epoch 39 |   0.0167   |
|  epoch 40 |   0.0107   |
|  epoch 41 |   0.0173   |
|  epoch 42 |   0.0161   |
|  epoch 43 |   0.0118   |
|  epoch 44 |   0.0091   |
|  epoch 45 |   0.0071   |
|  epoch 46 |   0.0083   |
|  epoch 47 |   0.0037   |
|  epoch 48 |   0.0025   |
|  epoch 49 |   0.0022   |
|  epoch 50 |   0.0060   |
|  epoch 51 |   0.0038   |
|  epoch 52 |   0.0047   |
|  epoch 53 |   0.0038   |
|  epoch 54 |   0.0027   |
|  epoch 55 |   0.0075   |
|  epoch 56 |   0.0099   |
|  epoch 57 |   0.0175   |
|  epoch 58 |   0.0154   |
|  epoch 59 |   0.0094   |
|  epoch 60 |   0.0052   |
|  epoch 61 |   0.0038   |
|  epoch 62 |   0.0040   |
|  epoch 63 |   0.0048   |
|  epoch 64 |   0.0083   |
|  epoch 65 |   0.0262   |
|  epoch 66 |   0.0205   |
|  epoch 67 |   0.0077   |
|  epoch 68 |   0.0053   |
|  epoch 69 |   0.0037   |
|  epoch 70 |   0.0040   |
|  epoch 71 |   0.0105   |
|  epoch 72 |   0.0142   |
|  epoch 73 |   0.0051   |
|  epoch 74 |   0.0043   |
|  epoch 75 |   0.0053   |
|  epoch 76 |   0.0041   |
|  epoch 77 |   0.0035   |
|  epoch 78 |   0.0026   |
|  epoch 79 |   0.0079   |
|  epoch 80 |   0.0064   |
|  epoch 81 |   0.0037   |
|  epoch 82 |   0.0068   |
|  epoch 83 |   0.0061   |
|  epoch 84 |   0.0039   |
|  epoch 85 |   0.0053   |
|  epoch 86 |   0.0087   |
|  epoch 87 |   0.0046   |
|  epoch 88 |   0.0036   |
|  epoch 89 |   0.0027   |
|  epoch 90 |   0.0015   |
|  epoch 91 |   0.0009   |
|  epoch 92 |   0.0007   |
|  epoch 93 |   0.0006   |
|  epoch 94 |   0.0037   |
|  epoch 95 |   0.0058   |
|  epoch 96 |   0.0015   |
|  epoch 97 |   0.0129   |
|  epoch 98 |   0.0064   |
|  epoch 99 |   0.0063   |
| epoch 100 |   0.0030   |
+-----------+------------+
