+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4412   |
|  epoch 2  |   0.3108   |
|  epoch 3  |   0.2456   |
|  epoch 4  |   0.2146   |
|  epoch 5  |   0.1795   |
|  epoch 6  |   0.1496   |
|  epoch 7  |   0.1325   |
|  epoch 8  |   0.1141   |
|  epoch 9  |   0.0943   |
|  epoch 10 |   0.0829   |
|  epoch 11 |   0.0696   |
|  epoch 12 |   0.0595   |
|  epoch 13 |   0.0537   |
|  epoch 14 |   0.0442   |
|  epoch 15 |   0.0331   |
|  epoch 16 |   0.0304   |
|  epoch 17 |   0.0272   |
|  epoch 18 |   0.0193   |
|  epoch 19 |   0.0273   |
|  epoch 20 |   0.0259   |
|  epoch 21 |   0.0218   |
|  epoch 22 |   0.0255   |
|  epoch 23 |   0.0272   |
|  epoch 24 |   0.0187   |
|  epoch 25 |   0.0167   |
|  epoch 26 |   0.0183   |
|  epoch 27 |   0.0149   |
|  epoch 28 |   0.0140   |
|  epoch 29 |   0.0221   |
|  epoch 30 |   0.0238   |
|  epoch 31 |   0.0136   |
|  epoch 32 |   0.0145   |
|  epoch 33 |   0.0103   |
|  epoch 34 |   0.0117   |
|  epoch 35 |   0.0124   |
|  epoch 36 |   0.0155   |
|  epoch 37 |   0.0234   |
|  epoch 38 |   0.0187   |
|  epoch 39 |   0.0165   |
|  epoch 40 |   0.0119   |
|  epoch 41 |   0.0117   |
|  epoch 42 |   0.0116   |
|  epoch 43 |   0.0069   |
|  epoch 44 |   0.0075   |
|  epoch 45 |   0.0157   |
|  epoch 46 |   0.0105   |
|  epoch 47 |   0.0088   |
|  epoch 48 |   0.0074   |
|  epoch 49 |   0.0069   |
|  epoch 50 |   0.0113   |
|  epoch 51 |   0.0156   |
|  epoch 52 |   0.0110   |
|  epoch 53 |   0.0171   |
|  epoch 54 |   0.0114   |
|  epoch 55 |   0.0103   |
|  epoch 56 |   0.0106   |
|  epoch 57 |   0.0173   |
|  epoch 58 |   0.0082   |
|  epoch 59 |   0.0060   |
|  epoch 60 |   0.0086   |
|  epoch 61 |   0.0102   |
|  epoch 62 |   0.0117   |
|  epoch 63 |   0.0113   |
|  epoch 64 |   0.0153   |
|  epoch 65 |   0.0099   |
|  epoch 66 |   0.0065   |
|  epoch 67 |   0.0028   |
|  epoch 68 |   0.0040   |
|  epoch 69 |   0.0011   |
|  epoch 70 |   0.0031   |
|  epoch 71 |   0.0025   |
|  epoch 72 |   0.0067   |
|  epoch 73 |   0.0153   |
|  epoch 74 |   0.0133   |
|  epoch 75 |   0.0132   |
|  epoch 76 |   0.0110   |
|  epoch 77 |   0.0063   |
|  epoch 78 |   0.0051   |
|  epoch 79 |   0.0077   |
|  epoch 80 |   0.0021   |
|  epoch 81 |   0.0074   |
|  epoch 82 |   0.0046   |
|  epoch 83 |   0.0116   |
|  epoch 84 |   0.0210   |
|  epoch 85 |   0.0164   |
|  epoch 86 |   0.0057   |
|  epoch 87 |   0.0066   |
|  epoch 88 |   0.0071   |
|  epoch 89 |   0.0065   |
|  epoch 90 |   0.0089   |
|  epoch 91 |   0.0077   |
|  epoch 92 |   0.0051   |
|  epoch 93 |   0.0051   |
|  epoch 94 |   0.0013   |
|  epoch 95 |   0.0012   |
|  epoch 96 |   0.0014   |
|  epoch 97 |   0.0010   |
|  epoch 98 |   0.0009   |
|  epoch 99 |   0.0005   |
| epoch 100 |   0.0008   |
+-----------+------------+
