+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.5988   |
| epoch 2  |   0.4553   |
| epoch 3  |   0.3731   |
| epoch 4  |   0.3195   |
| epoch 5  |   0.2841   |
| epoch 6  |   0.2511   |
| epoch 7  |   0.2283   |
| epoch 8  |   0.2097   |
| epoch 9  |   0.1912   |
| epoch 10 |   0.1762   |
| epoch 11 |   0.1654   |
| epoch 12 |   0.1467   |
| epoch 13 |   0.1392   |
| epoch 14 |   0.1309   |
| epoch 15 |   0.1195   |
| epoch 16 |   0.1178   |
| epoch 17 |   0.1071   |
| epoch 18 |   0.1050   |
| epoch 19 |   0.0986   |
| epoch 20 |   0.0924   |
| epoch 21 |   0.0869   |
| epoch 22 |   0.0883   |
| epoch 23 |   0.0794   |
| epoch 24 |   0.0776   |
| epoch 25 |   0.0777   |
| epoch 26 |   0.0691   |
| epoch 27 |   0.0691   |
| epoch 28 |   0.0694   |
| epoch 29 |   0.0668   |
| epoch 30 |   0.0634   |
| epoch 31 |   0.0629   |
| epoch 32 |   0.0585   |
| epoch 33 |   0.0549   |
| epoch 34 |   0.0597   |
| epoch 35 |   0.0529   |
| epoch 36 |   0.0550   |
| epoch 37 |   0.0548   |
| epoch 38 |   0.0539   |
| epoch 39 |   0.0492   |
| epoch 40 |   0.0510   |
| epoch 41 |   0.0487   |
| epoch 42 |   0.0455   |
| epoch 43 |   0.0484   |
| epoch 44 |   0.0461   |
| epoch 45 |   0.0455   |
| epoch 46 |   0.0402   |
| epoch 47 |   0.0436   |
| epoch 48 |   0.0441   |
| epoch 49 |   0.0442   |
| epoch 50 |   0.0396   |
+----------+------------+
